list-il-none,2,4,1,24, 74868, 3119
list-il-none,2,16,1,96, 159649, 1663
list-il-none,2,32,1,192, 398955, 2077
list-il-none,4,1,1,12, 125366, 10447
list-il-none,4,2,1,24, 107106, 4462
list-il-none,4,4,1,48, 124715, 2598
list-il-none,4,8,1,96, 115358, 1201
list-il-none,4,16,1,192, 172488, 898
list-il-none,8,1,1,24, 208390, 8682
list-il-none,8,2,1,48, 258937, 5394
list-il-none,8,4,1,96, 227133, 2365
list-il-none,8,8,1,192, 232993, 1213
list-il-none,12,1,1,36, 282254, 7840
list-il-none,12,2,1,72, 294054, 4084
list-il-none,12,4,1,144, 319078, 2215
list-il-none,12,8,1,288, 447054, 1552
list-dl-none,2,1,1,6, 73019, 12169
list-dl-none,2,2,1,12, 96455, 8037
list-dl-none,2,4,1,24, 76332, 3180
list-dl-none,2,8,1,48, 86945, 1811
list-dl-none,2,16,1,96, 93625, 975
list-dl-none,2,32,1,192, 136608, 711
list-dl-none,4,1,1,12, 166670, 13889
list-dl-none,4,2,1,24, 128161, 5340
list-dl-none,4,4,1,48, 130845, 2725
list-dl-none,4,8,1,96, 128054, 1333
list-dl-none,4,16,1,192, 149416, 778
list-dl-none,8,1,1,24, 238934, 9955
list-dl-none,8,2,1,48, 216171, 4503
list-dl-none,8,4,1,96, 208765, 2174
list-dl-none,8,8,1,192, 247352, 1288
list-dl-none,8,16,1,384, 250241, 651
list-dl-none,12,1,1,36, 366341, 10176
list-dl-none,12,2,1,72, 310686, 4315
list-dl-none,12,4,1,144, 297737, 2067
list-dl-none,12,8,1,288, 308331, 1070
list-i-m,12,32,1,1152, 8625646, 7487
list-d-m,12,32,1,1152, 1578643, 1370
list-il-m,12,32,1,1152, 29090982, 25252
list-dl-m,12,32,1,1152, 2015279, 1749
list-i-s,12,32,1,1152, 24177237, 20987
list-d-s,12,32,1,1152, 1529734, 1327
list-il-s,12,32,1,1152, 25094906, 21783
list-dl-s,12,32,1,1152, 1534651, 1332
list-none-none,1,1000,1,3000, 2527699, 842
list-none-m,1,1000,1,3000, 2583134, 861
list-none-m,2,1000,1,6000, 13011972, 2168
list-none-m,4,1000,1,12000, 46970213, 3914
list-none-m,8,1000,1,24000, 179291323, 7470
list-none-m,12,1000,1,36000, 353546904, 9820
list-none-m,16,1000,1,48000, -337654177, -7034
list-none-m,24,1000,1,72000, 148772099, 2066
list-none-s,1,1000,1,3000, 2583883, 861
list-none-s,2,1000,1,6000, 10821983, 1803
list-none-s,4,1000,1,12000, 35265678, 2938
list-none-s,8,1000,1,24000, 149453087, 6227
list-none-s,12,1000,1,36000, -666698484, -18519
list-none-s,16,1000,1,48000, 622232084, 12963
list-none-s,24,1000,1,72000, -275695629, -3829
list-none-none,1,10,1,30, 12584090, 419469
list-none-none,1,100,1,300, 11146724, 37155
list-none-none,1,1000,1,3000, 12967194, 4322
list-none-none,1,10000,1,30000, 453230280, 15107
list-none-none,1,20000,1,60000, 44419541, 740
list-none-none,2,1,1,6, 23443696, 3907282
list-none-none,2,10,1,60, 19494356, 324905
list-none-none,2,100,1,600, 22468529, 37447
list-none-none,4,1,1,12, 23750489, 1979207
list-none-none,4,100,1,1200, 35715507, 29762
